Method,Constraint,GridSize,NumberOfAgents,PathLength,Time_Median,Time_Average
z3,3,10,10,1,0,0
z3,3,10,10,5,0,0
z3,3,10,10,10,2,2
z3,3,10,10,15,8,7
z3,3,10,10,20,22,24
z3,3,10,15,1,0,0
z3,3,10,15,5,1,1
z3,3,10,15,10,5,5
z3,3,10,15,15,22,22
z3,3,10,15,20,60,59
z3,3,10,20,1,0,0
z3,3,10,20,5,1,1
z3,3,10,20,10,10,10
z3,3,10,20,15,46,47
z3,3,10,20,20,60,60
z3,3,15,10,1,0,0
z3,3,15,10,5,0,0
z3,3,15,10,10,2,2
z3,3,15,10,15,6,6
z3,3,15,10,20,18,18
z3,3,15,15,1,0,0
z3,3,15,15,5,1,1
z3,3,15,15,10,4,4
z3,3,15,15,15,18,19
z3,3,15,15,20,53,52
z3,3,15,20,1,0,0
z3,3,15,20,5,1,1
z3,3,15,20,10,9,9
z3,3,15,20,15,35,36
z3,3,15,20,20,60,60
z3,3,20,10,1,0,0
z3,3,20,10,5,0,0
z3,3,20,10,10,1,2
z3,3,20,10,15,6,6
z3,3,20,10,20,15,15
z3,3,20,15,1,0,0
z3,3,20,15,5,1,1
z3,3,20,15,10,4,4
z3,3,20,15,15,16,16
z3,3,20,15,20,43,44
z3,3,20,20,1,0,0
z3,3,20,20,5,1,1
z3,3,20,20,10,9,9
z3,3,20,20,15,33,33
z3,3,20,20,20,60,60
z3,3,50,10,1,0,0
z3,3,50,10,5,0,0
z3,3,50,10,10,2,2
z3,3,50,10,15,6,6
z3,3,50,10,20,15,16
z3,3,50,15,1,0,0
z3,3,50,15,5,1,1
z3,3,50,15,10,4,4
z3,3,50,15,15,16,16
z3,3,50,15,20,44,45
z3,3,50,20,1,0,0
z3,3,50,20,5,1,1
z3,3,50,20,10,8,8
z3,3,50,20,15,33,32
z3,3,50,20,20,60,60
z3,5,10,10,1,0,0
z3,5,10,10,5,0,0
z3,5,10,10,10,2,2
z3,5,10,10,15,7,8
z3,5,10,10,20,20,24
z3,5,10,15,1,0,0
z3,5,10,15,5,1,1
z3,5,10,15,10,4,4
z3,5,10,15,15,21,21
z3,5,10,15,20,60,59
z3,5,10,20,1,0,0
z3,5,10,20,5,1,1
z3,5,10,20,10,10,10
z3,5,10,20,15,49,48
z3,5,10,20,20,60,60
z3,5,15,10,1,0,0
z3,5,15,10,5,0,0
z3,5,15,10,10,2,2
z3,5,15,10,15,6,7
z3,5,15,10,20,18,21
z3,5,15,15,1,0,0
z3,5,15,15,5,1,1
z3,5,15,15,10,4,4
z3,5,15,15,15,17,17
z3,5,15,15,20,46,48
z3,5,15,20,1,0,0
z3,5,15,20,5,1,1
z3,5,15,20,10,9,9
z3,5,15,20,15,36,37
z3,5,15,20,20,60,60
z3,5,20,10,1,0,0
z3,5,20,10,5,0,0
z3,5,20,10,10,2,2
z3,5,20,10,15,5,6
z3,5,20,10,20,14,15
z3,5,20,15,1,0,0
z3,5,20,15,5,1,1
z3,5,20,15,10,4,4
z3,5,20,15,15,17,18
z3,5,20,15,20,45,47
z3,5,20,20,1,0,0
z3,5,20,20,5,1,1
z3,5,20,20,10,9,9
z3,5,20,20,15,33,36
z3,5,20,20,20,60,60
z3,5,50,10,1,0,0
z3,5,50,10,5,0,0
z3,5,50,10,10,2,2
z3,5,50,10,15,6,6
z3,5,50,10,20,16,16
z3,5,50,15,1,0,0
z3,5,50,15,5,1,1
z3,5,50,15,10,4,4
z3,5,50,15,15,16,17
z3,5,50,15,20,48,49
z3,5,50,20,1,0,0
z3,5,50,20,5,1,1
z3,5,50,20,10,8,8
z3,5,50,20,15,34,35
z3,5,50,20,20,60,60
z3,8,10,10,1,0,0
z3,8,10,10,5,0,0
z3,8,10,10,10,1,2
z3,8,10,10,15,5,5
z3,8,10,10,20,18,23
z3,8,10,15,1,0,0
z3,8,10,15,5,1,1
z3,8,10,15,10,4,4
z3,8,10,15,15,20,20
z3,8,10,15,20,60,58
z3,8,10,20,1,0,0
z3,8,10,20,5,1,1
z3,8,10,20,10,9,10
z3,8,10,20,15,46,48
z3,8,10,20,20,60,60
z3,8,15,10,1,0,0
z3,8,15,10,5,0,0
z3,8,15,10,10,1,2
z3,8,15,10,15,5,5
z3,8,15,10,20,13,16
z3,8,15,15,1,0,0
z3,8,15,15,5,1,1
z3,8,15,15,10,4,4
z3,8,15,15,15,16,17
z3,8,15,15,20,53,52
z3,8,15,20,1,0,0
z3,8,15,20,5,1,1
z3,8,15,20,10,9,9
z3,8,15,20,15,34,35
z3,8,15,20,20,60,60
z3,8,20,10,1,0,0
z3,8,20,10,5,0,0
z3,8,20,10,10,1,1
z3,8,20,10,15,5,5
z3,8,20,10,20,13,18
z3,8,20,15,1,0,0
z3,8,20,15,5,1,1
z3,8,20,15,10,4,4
z3,8,20,15,15,15,15
z3,8,20,15,20,53,50
z3,8,20,20,1,0,0
z3,8,20,20,5,1,1
z3,8,20,20,10,9,9
z3,8,20,20,15,32,35
z3,8,20,20,20,60,60
z3,8,50,10,1,0,0
z3,8,50,10,5,0,0
z3,8,50,10,10,1,1
z3,8,50,10,15,4,5
z3,8,50,10,20,13,18
z3,8,50,15,1,0,0
z3,8,50,15,5,1,1
z3,8,50,15,10,4,4
z3,8,50,15,15,14,15
z3,8,50,15,20,40,45
z3,8,50,20,1,0,0
z3,8,50,20,5,1,1
z3,8,50,20,10,9,9
z3,8,50,20,15,32,33
z3,8,50,20,20,60,60
